tick,customer_ID,latitude,longitude,stickiness,random_number,current_firm,previous_firm,decision,c_deviance_propensity
0,378,34.0487,-117.422,19,43,8,6,move,0
0,36,33.7202,-117.1004,61,90,10,1,move,0
0,363,34.0075,-117.4774,10,41,8,6,move,0
0,474,34.64,-117.1963,39,91,7,8,move,0
0,253,34.0112,-117.6307,63,26,4,0,stay,0
0,586,34.1434,-117.6155,7,36,6,10,move,0
0,274,34.099,-117.506,72,54,4,0,stay,0
0,348,34.0281,-117.5398,32,0,5,0,move,0
0,438,34.5888,-117.1527,65,66,0,0,wait,0
0,65,33.7707,-117.5083,9,0,1,0,move,0
0,632,34.0358,-116.9646,95,25,10,0,stay,0
0,415,34.5695,-117.216,58,68,0,0,wait,0
0,284,34.0431,-117.6387,32,61,0,6,wait,0
0,67,33.8774,-117.5754,32,0,1,0,move,0
0,257,34.1555,-117.5973,64,40,4,0,stay,0
0,462,34.5025,-117.363,4,16,6,7,move,0
0,567,33.974,-117.7364,88,49,9,0,stay,0
0,135,34.028,-117.5359,50,75,0,6,wait,0
0,535,34.1201,-117.351,82,52,9,0,stay,0
0,91,33.8847,-117.453,30,51,8,2,move,0
0,592,34.0924,-117.6392,51,6,10,0,stay,0
0,525,34.0519,-117.2669,51,98,8,9,move,0
0,464,34.5085,-117.2569,85,57,7,0,stay,0
0,262,34.0994,-117.6311,82,19,4,0,stay,0
0,184,34.0469,-117.5991,15,21,6,3,move,0
0,283,34.0726,-117.4739,34,73,0,6,wait,0
0,593,34.0785,-117.7177,15,20,4,10,move,0
0,660,34.005,-117.0066,6,0,0,0,wait,0
0,269,34.158,-117.7285,88,53,4,0,stay,0
0,639,33.8969,-116.9642,42,1,10,0,stay,0
0,53,33.8167,-117.0198,38,56,10,1,move,0
0,339,34.1626,-117.5665,71,7,5,0,stay,0
0,465,34.4404,-117.3284,58,23,7,0,stay,0
0,82,33.8203,-117.4782,82,48,2,0,stay,0
0,365,34.1871,-117.6111,82,74,0,6,move,0
0,218,34.1733,-117.57,26,22,4,0,stay,0
0,228,34.1775,-117.6761,84,14,4,0,stay,0
0,85,33.8144,-117.5727,18,82,6,2,move,0
0,197,34.0293,-117.4641,16,38,6,3,move,0
0,304,34.2205,-117.5943,7,4,5,0,stay,0
0,177,34.0359,-117.5128,89,9,3,0,stay,0
0,100,33.7384,-117.6646,28,16,2,0,stay,0
0,165,34.1359,-117.5398,35,89,6,3,move,0
0,600,34.0671,-117.7259,24,74,4,10,move,0
0,157,34.1236,-117.5519,57,24,3,0,stay,0
0,649,34.0088,-117.1598,88,25,10,0,stay,0
0,170,34.2295,-117.4214,36,66,6,3,move,0
0,480,34.6152,-117.1701,22,68,7,8,move,0
0,160,34.0496,-117.4757,33,65,0,6,wait,0
0,226,34.0852,-117.6545,43,39,4,0,stay,0
0,313,34.0304,-117.5273,48,89,6,5,move,0
0,171,34.0124,-117.4769,91,32,3,0,stay,0
0,370,33.9938,-117.4496,74,10,0,6,move,0
0,140,34.2299,-117.56,71,64,3,0,stay,0
0,112,33.8364,-117.6293,47,56,0,6,wait,0
0,640,34.0136,-116.991,58,25,0,10,move,0
0,522,34.1355,-117.2274,62,84,8,9,move,0
0,45,33.669,-116.8689,82,54,1,0,stay,0
0,20,33.6543,-117.0028,55,79,10,1,move,0
0,149,34.0264,-117.4019,70,13,3,0,stay,0
0,49,33.679,-117.046,30,78,10,1,move,0
0,545,33.9199,-117.3388,93,54,9,0,stay,0
0,619,34.1172,-117.7404,70,75,4,10,move,0
0,553,34.0979,-117.213,87,6,9,0,stay,0
0,353,34.0089,-117.6099,68,62,0,6,move,0
0,558,34.128,-117.1982,61,89,8,9,move,0
0,223,33.9714,-117.6306,60,58,4,0,stay,0
0,145,34.2109,-117.435,22,46,0,6,wait,0
0,607,34.1854,-117.7377,21,97,0,6,wait,0
0,482,34.6292,-117.3643,15,13,8,0,stay,0
0,26,33.8489,-117.015,16,37,0,10,wait,0
0,426,34.4597,-117.2142,56,54,7,0,stay,0
0,255,34.066,-117.5942,14,12,4,0,stay,0
0,604,34.1322,-117.6839,55,55,0,10,move,0
0,96,33.8355,-117.6038,47,21,2,0,stay,0
0,37,33.7365,-116.9602,65,68,0,10,wait,0
0,207,34.1377,-117.6081,81,2,4,0,stay,0
0,329,34.1921,-117.6224,59,67,0,6,wait,0
0,578,34.0633,-117.7339,44,78,4,9,move,0
0,216,34.1038,-117.5538,38,76,0,6,wait,0
0,501,33.979,-117.3076,51,2,0,8,move,0
0,204,33.9596,-117.7356,90,44,3,0,stay,0
0,62,33.9787,-117.4881,17,0,1,0,move,0
