Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
1,1,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,10,10,10,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,10,10,1,10,10,1,10,1,1,1,1,1,336
2,1,10,1,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,1,1,10,10,1,1,10,1,1,10,1,1,1,10,1,1,10,1,10,1,10,10,1,1,10,10,1,10,10,1,10,1,10,1,1,10,1,10,1,282
3,1,10,10,1,10,1,1,10,1,1,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,1,10,10,10,10,10,1,10,1,1,1,10,10,10,1,1,1,10,10,1,1,1,10,10,1,1,10,1,1,1,10,10,318
4,10,1,1,1,10,10,10,10,10,1,1,1,1,10,10,1,1,10,10,10,1,1,10,10,10,10,10,10,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,10,10,1,1,1,1,1,1,1,345
5,1,1,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,372
6,1,10,1,10,1,10,1,10,10,1,10,1,10,1,10,1,10,1,1,1,10,10,1,1,10,1,10,1,10,10,1,1,1,1,10,1,10,1,10,10,1,10,1,1,10,1,10,10,10,1,10,10,1,10,1,1,10,309
7,10,1,10,1,10,1,10,10,1,10,1,10,1,10,10,1,10,1,10,1,10,1,10,1,1,10,1,10,1,10,1,10,10,1,10,1,10,1,1,0,10,10,1,10,10,1,10,1,10,1,10,1,10,1,1,10,1,317
8,10,10,1,10,1,10,10,10,10,1,10,1,1,1,1,1,10,10,10,10,10,1,10,10,10,10,1,10,10,10,1,1,1,10,10,10,10,1,1,10,1,10,10,1,10,10,10,1,10,1,1,10,1,10,10,10,10,381
9,1,10,10,10,0,8,0,8,8,10,10,10,10,10,10,8,8,8,8,10,10,8,8,8,10,10,0,8,0,8,8,8,10,10,8,0,8,10,10,10,10,10,10,8,8,10,0,0,10,8,10,10,10,10,8,0,0,431
10,10,1,10,1,1,10,1,1,10,1,10,1,10,10,10,1,1,10,1,10,10,1,10,1,10,1,10,10,10,1,10,1,1,10,1,1,10,1,10,1,10,1,10,1,1,10,10,10,1,10,1,1,10,1,1,10,1,309
11,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,1,1,1,10,10,10,10,272
12,10,0,8,10,10,0,0,10,8,10,8,10,0,0,10,8,10,8,10,0,8,0,8,10,0,0,10,8,10,8,10,0,0,10,0,8,10,0,8,8,10,0,0,10,0,8,0,8,10,8,10,8,8,10,8,10,8,362
13,0,10,10,1,10,10,10,10,10,10,10,1,1,1,1,1,1,1,10,10,10,10,10,10,1,10,1,10,10,1,1,10,10,1,10,10,10,1,1,10,1,1,1,10,1,1,1,10,10,1,1,1,1,1,1,10,10,317
14,1,1,1,1,10,10,10,1,1,10,10,1,10,1,10,1,10,10,1,1,1,10,10,10,1,1,10,10,10,10,1,10,10,1,1,10,10,10,10,10,1,1,10,10,10,10,10,1,1,1,10,10,1,1,1,1,1,327
15,1,1,1,1,1,1,10,1,10,10,10,10,10,1,1,1,1,1,1,10,1,1,1,1,1,10,1,10,1,1,1,10,10,10,10,10,10,1,1,1,1,10,1,10,10,1,1,10,10,10,10,1,1,1,1,1,10,264
