tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
0,1,61,0,37,37,0,61,0,3.7,3,0,0,0
0,3,70,0,39,39,0,65,0,3.5,5,1,0,0
0,8,75,0,85,75,10,45,0,4.8,13,5,0,0
0,10,69,0,90,69,21,69,0,5,17,1,0,0
0,6,71,0,184,71,113,50,0,4.9,8,0,0,0
0,4,70,0,54,54,0,70,1,4.6,10,1,0,0
0,5,71,0,50,50,0,71,0,3.9,9,2,0,0
0,7,74,0,39,39,0,70,0,5,10,3,0,0
0,2,68,0,34,34,0,68,0,3.8,4,0,0,0
0,9,65,0,31,31,0,65,0,2.8,15,6,0,0
1,1,48,0,36,36,0,36,0,3.7,3,0,0,0
1,10,69,0,77,69,8,69,0,5,17,1,0,0
1,7,74,0,51,51,0,51,0,5,10,3,0,0
1,8,75,0,85,75,10,75,0,4.8,13,5,0,0
1,9,65,0,20,20,0,20,0,2.8,15,6,0,0
1,5,71,0,44,44,0,44,0,3.9,9,2,0,0
1,6,71,0,140,71,69,71,0,4.9,8,0,0,0
1,2,68,0,36,36,0,36,0,3.8,4,0,0,0
1,4,70,0,52,52,0,52,1,4.6,10,1,0,0
1,3,70,0,32,32,0,32,0,3.5,5,1,0,0
2,5,71,0,46,46,0,44,0,3.9,9,2,0,0
2,1,48,0,30,30,0,36,0,3.7,3,0,0,0
2,8,75,0,103,75,28,75,0,4.8,13,5,0,0
2,9,65,0,14,14,0,20,0,2.8,15,6,0,0
2,4,70,0,50,50,0,52,1,4.6,10,1,0,0
2,10,69,0,65,65,0,69,0,5,17,1,0,0
2,7,74,0,40,40,0,51,0,5,10,3,0,0
2,2,68,0,24,24,0,36,0,3.8,4,0,0,0
2,6,71,0,200,71,129,71,0,4.9,8,0,0,0
2,3,70,0,32,32,0,32,0,3.5,5,1,0,0
3,5,71,0,44,44,0,44,0,3.9,9,2,0,0
3,9,65,0,10,10,0,20,0,2.8,15,6,0,0
3,10,69,0,68,68,0,69,0,5,17,1,0,0
3,7,74,0,41,41,0,51,0,5,10,3,0,0
3,8,75,0,101,75,26,75,0,4.8,13,5,0,0
