tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
0,4,70,0,51,51,0,70,1,4.6,10,1,0,0
0,9,65,0,31,31,0,65,0,2.8,15,6,0,0
0,1,61,0,36,36,0,61,0,3.7,3,0,0,0
0,5,71,0,52,52,0,71,0,3.9,9,2,0,0
0,6,71,0,181,71,110,50,0,4.9,8,0,0,0
0,10,69,0,83,69,14,69,0,5,17,1,0,0
0,7,74,0,39,39,0,70,0,5,10,3,0,0
0,8,75,0,100,75,25,45,0,4.8,13,5,0,0
0,3,70,0,46,46,0,65,0,3.5,5,1,0,0
0,2,68,0,31,31,0,68,0,3.8,4,0,0,0
1,9,65,0,21,21,0,21,0,2.8,15,6,0,0
1,2,68,0,32,32,0,32,0,3.8,4,0,0,0
1,7,74,0,44,44,0,44,0,5,10,3,0,0
1,6,71,0,151,71,80,71,0,4.9,8,0,0,0
1,4,70,0,42,42,0,42,1,4.6,10,1,0,0
1,3,70,0,34,34,0,34,0,3.5,5,1,0,0
1,5,71,0,50,50,0,50,0,3.9,9,2,0,0
1,1,46,0,32,32,0,32,0,3.7,3,0,0,0
1,10,69,0,71,69,2,69,0,5,17,1,0,0
1,8,75,0,95,75,20,75,0,4.8,13,5,0,0
2,4,70,0,44,44,0,42,1,4.6,10,1,0,0
2,10,69,0,69,69,0,69,0,5,17,1,0,0
2,7,74,0,40,40,0,44,0,5,10,3,0,0
2,8,75,0,102,75,27,75,0,4.8,13,5,0,0
2,9,65,0,13,13,0,21,0,2.8,15,6,0,0
2,5,71,0,44,44,0,50,0,3.9,9,2,0,0
2,1,46,0,27,27,0,32,0,3.7,3,0,0,0
2,2,68,0,25,25,0,32,0,3.8,4,0,0,0
2,6,71,0,189,71,118,71,0,4.9,8,0,0,0
2,3,70,0,35,35,0,34,0,3.5,5,1,0,0
3,4,70,0,47,47,0,42,1,4.6,10,1,0,0
3,9,65,0,8,8,0,21,0,2.8,15,6,0,0
3,5,71,0,46,46,0,50,0,3.9,9,2,0,0
3,3,70,0,27,27,0,34,0,3.5,5,1,0,0
3,10,69,0,63,63,0,69,0,5,17,1,0,0
3,7,74,0,42,42,0,44,0,5,10,3,0,0
3,8,75,0,103,75,28,75,0,4.8,13,5,0,0
3,2,68,0,19,19,0,32,0,3.8,4,0,0,0
3,1,46,0,31,31,0,32,0,3.7,3,0,0,0
3,6,71,0,171,71,100,71,0,4.9,8,0,0,0
4,9,65,0,8,8,0,21,0,2.8,15,6,0,0
4,2,68,0,22,22,0,32,0,3.8,4,0,0,0
4,10,69,0,66,66,0,69,0,5,17,1,0,0
4,4,70,0,35,35,0,42,1,4.6,10,1,0,0
4,3,70,0,27,27,0,34,0,3.5,5,1,0,0
4,1,46,0,22,22,0,32,0,3.7,3,0,0,0
4,7,74,0,44,44,0,44,0,5,10,3,0,0
4,6,71,0,212,71,141,71,0,4.9,8,0,0,0
4,8,75,0,106,75,31,75,0,4.8,13,5,0,0
4,5,71,0,32,32,0,50,0,3.9,9,2,0,0
5,3,46,0,23,23,0,23,0,3.5,5,1,0,0
5,4,56,0,42,42,0,42,1,4.6,10,1,0,0
5,9,65,0,6,6,0,21,0,2.8,15,6,0,0
5,6,71,0,174,71,103,71,0,4.9,8,0,0,0
5,1,46,0,26,26,0,32,0,3.7,3,0,0,0
5,2,44,0,20,20,0,20,0,3.8,4,0,0,0
5,5,52,0,33,33,0,33,0,3.9,9,2,0,0
5,10,69,0,64,64,0,69,0,5,17,1,0,0
5,7,74,0,34,34,0,44,0,5,10,3,0,0
5,8,75,0,112,75,37,75,0,4.8,13,5,0,0
6,6,71,0,201,71,130,71,0,4.9,8,0,0,0
6,8,75,0,112,75,37,75,0,4.8,13,5,0,0
6,5,52,0,36,36,0,33,0,3.9,9,2,0,0
6,10,69,0,65,65,0,69,0,5,17,1,0,0
6,3,46,0,22,22,0,23,0,3.5,5,1,0,0
6,7,74,0,50,50,0,44,0,5,10,3,0,0
6,1,46,0,23,23,0,32,0,3.7,3,0,0,0
6,4,56,0,37,37,0,42,1,4.6,10,1,0,0
6,9,65,0,6,6,0,21,0,2.8,15,6,0,0
6,2,44,0,17,17,0,20,0,3.8,4,0,0,0
7,8,75,0,103,75,28,75,0,4.8,13,5,0,0
7,9,65,0,6,6,0,21,0,2.8,15,6,0,0
7,2,44,0,17,17,0,20,0,3.8,4,0,0,0
7,3,46,0,22,22,0,23,0,3.5,5,1,0,0
7,5,52,0,31,31,0,33,0,3.9,9,2,0,0
7,10,69,0,61,61,0,69,0,5,17,1,0,0
7,6,71,0,190,71,119,71,0,4.9,8,0,0,0
7,4,56,0,38,38,0,42,1,4.6,10,1,0,0
7,7,74,0,47,47,0,44,0,5,10,3,0,0
7,1,46,0,28,28,0,32,0,3.7,3,0,0,0
8,6,71,0,195,71,124,71,0,4.9,8,0,0,0
8,1,46,0,19,19,0,32,0,3.7,3,0,0,0
8,9,65,0,5,5,0,21,0,2.8,15,6,0,0
8,10,69,0,75,69,6,69,0,5,17,1,0,0
8,4,56,0,43,43,0,42,1,4.6,10,1,0,0
8,2,44,0,15,15,0,20,0,3.8,4,0,0,0
8,7,74,0,39,39,0,44,0,5,10,3,0,0
8,8,75,0,99,75,24,75,0,4.8,13,5,0,0
8,3,46,0,21,21,0,23,0,3.5,5,1,0,0
8,5,52,0,39,39,0,33,0,3.9,9,2,0,0
9,2,44,0,14,14,0,20,0,3.8,4,0,0,0
9,5,52,0,28,28,0,33,0,3.9,9,2,0,0
9,9,65,0,5,5,0,21,0,2.8,15,6,0,0
9,1,46,0,28,28,0,32,0,3.7,3,0,0,0
9,8,75,0,102,75,27,75,0,4.8,13,5,0,0
9,10,69,0,64,64,0,69,0,5,17,1,0,0
9,6,71,0,203,71,132,71,0,4.9,8,0,0,0
9,7,74,0,49,49,0,44,0,5,10,3,0,0
9,3,46,0,21,21,0,23,0,3.5,5,1,0,0
9,4,56,0,44,44,0,42,1,4.6,10,1,0,0
10,2,44,0,18,18,0,20,0,3.8,4,0,0,0
10,9,65,0,5,5,0,21,0,2.8,15,6,0,0
10,3,46,0,22,22,0,23,0,3.5,5,1,0,0
10,10,69,0,72,69,3,69,0,5,17,1,0,0
10,7,74,0,53,53,0,44,0,5,10,3,0,0
10,5,52,0,38,38,0,33,0,3.9,9,2,0,0
10,4,56,0,41,41,0,42,1,4.6,10,1,0,0
10,8,75,0,102,75,27,75,0,4.8,13,5,0,0
10,1,46,0,19,19,0,32,0,3.7,3,0,0,0
10,6,71,0,177,71,106,71,0,4.9,8,0,0,0
11,4,56,0,48,48,0,42,1,4.6,10,1,0,0
11,2,44,0,18,18,0,20,0,3.8,4,0,0,0
11,9,65,0,5,5,0,21,0,2.8,15,6,0,0
11,8,75,0,108,75,33,75,0,4.8,13,5,0,0
11,1,46,0,32,32,0,32,0,3.7,3,0,0,0
11,7,74,0,46,46,0,44,0,5,10,3,0,0
11,5,52,0,24,24,0,33,0,3.9,9,2,0,0
11,3,46,0,18,18,0,23,0,3.5,5,1,0,0
11,6,71,0,206,71,135,71,0,4.9,8,0,0,0
11,10,69,0,65,65,0,69,0,5,17,1,0,0
12,2,44,0,18,18,0,20,0,3.8,4,0,0,0
12,4,56,0,41,41,0,42,1,4.6,10,1,0,0
12,5,52,0,31,31,0,33,0,3.9,9,2,0,0
12,6,71,0,188,71,117,71,0,4.9,8,0,0,0
12,10,69,0,63,63,0,69,0,5,17,1,0,0
12,9,65,0,5,5,0,21,0,2.8,15,6,0,0
12,8,75,0,103,75,28,75,0,4.8,13,5,0,0
12,1,46,0,25,25,0,32,0,3.7,3,0,0,0
12,3,46,0,20,20,0,23,0,3.5,5,1,0,0
12,7,74,0,49,49,0,44,0,5,10,3,0,0
13,9,65,0,4,4,0,21,0,2.8,15,6,0,0
13,7,74,0,46,46,0,44,0,5,10,3,0,0
13,2,44,0,17,17,0,20,0,3.8,4,0,0,0
13,1,46,0,26,26,0,32,0,3.7,3,0,0,0
13,3,46,0,20,20,0,23,0,3.5,5,1,0,0
13,6,71,0,214,71,143,71,0,4.9,8,0,0,0
13,4,56,0,39,39,0,42,1,4.6,10,1,0,0
13,8,75,0,104,75,29,75,0,4.8,13,5,0,0
13,10,69,0,63,63,0,69,0,5,17,1,0,0
13,5,52,0,21,21,0,33,0,3.9,9,2,0,0
14,2,44,0,16,16,0,20,0,3.8,4,0,0,0
14,3,46,0,20,20,0,23,0,3.5,5,1,0,0
14,8,75,0,101,75,26,75,0,4.8,13,5,0,0
14,10,69,0,64,64,0,69,0,5,17,1,0,0
14,7,74,0,47,47,0,44,0,5,10,3,0,0
14,9,65,0,4,4,0,21,0,2.8,15,6,0,0
14,6,71,0,186,71,115,71,0,4.9,8,0,0,0
14,5,52,0,27,27,0,33,0,3.9,9,2,0,0
14,1,46,0,25,25,0,32,0,3.7,3,0,0,0
14,4,56,0,43,43,0,42,1,4.6,10,1,0,0
15,10,69,0,57,57,0,69,0,5,17,1,0,0
15,2,44,0,16,16,0,20,0,3.8,4,0,0,0
15,8,75,0,109,75,34,75,0,4.8,13,5,0,0
15,1,46,0,27,27,0,32,0,3.7,3,0,0,0
15,5,52,0,28,28,0,33,0,3.9,9,2,0,0
15,4,56,0,37,37,0,42,1,4.6,10,1,0,0
15,3,46,0,17,17,0,23,0,3.5,5,1,0,0
15,6,71,0,214,71,143,71,0,4.9,8,0,0,0
15,9,65,0,4,4,0,21,0,2.8,15,6,0,0
15,7,74,0,45,45,0,44,0,5,10,3,0,0
16,9,65,0,3,3,0,21,0,2.8,15,6,0,0
16,4,56,0,34,34,0,42,1,4.6,10,1,0,0
16,1,46,0,27,27,0,32,0,3.7,3,0,0,0
16,5,52,0,23,23,0,33,0,3.9,9,2,0,0
16,3,46,0,24,24,0,23,0,3.5,5,1,0,0
16,6,71,0,189,71,118,71,0,4.9,8,0,0,0
16,7,74,0,42,42,0,44,0,5,10,3,0,0
16,2,44,0,16,16,0,20,0,3.8,4,0,0,0
16,10,69,0,48,48,0,69,0,5,17,1,0,0
16,8,75,0,126,75,51,75,0,4.8,13,5,0,0
17,2,44,0,14,14,0,20,0,3.8,4,0,0,0
17,3,46,0,22,22,0,23,0,3.5,5,1,0,0
17,10,69,0,55,55,0,69,0,5,17,1,0,0
17,4,56,0,34,34,0,42,1,4.6,10,1,0,0
17,7,74,0,44,44,0,44,0,5,10,3,0,0
17,9,65,0,3,3,0,21,0,2.8,15,6,0,0
17,1,46,0,25,25,0,32,0,3.7,3,0,0,0
17,5,52,0,31,31,0,33,0,3.9,9,2,0,0
17,6,71,0,196,71,125,71,0,4.9,8,0,0,0
17,8,75,0,110,75,35,75,0,4.8,13,5,0,0
18,9,65,0,3,3,0,21,0,2.8,15,6,0,0
18,8,75,0,100,75,25,75,0,4.8,13,5,0,0
18,3,46,0,20,20,0,23,0,3.5,5,1,0,0
18,2,44,0,18,18,0,20,0,3.8,4,0,0,0
18,4,56,0,34,34,0,42,1,4.6,10,1,0,0
18,7,74,0,43,43,0,44,0,5,10,3,0,0
18,10,69,0,64,64,0,69,0,5,17,1,0,0
18,5,52,0,29,29,0,33,0,3.9,9,2,0,0
18,1,46,0,21,21,0,32,0,3.7,3,0,0,0
18,6,71,0,207,71,136,71,0,4.9,8,0,0,0
19,6,71,0,207,71,136,71,0,4.9,8,0,0,0
19,5,52,0,23,23,0,33,0,3.9,9,2,0,0
19,7,74,0,49,49,0,44,0,5,10,3,0,0
19,10,69,0,63,63,0,69,0,5,17,1,0,0
19,1,46,0,19,19,0,32,0,3.7,3,0,0,0
19,3,46,0,14,14,0,23,0,3.5,5,1,0,0
19,9,65,0,3,3,0,21,0,2.8,15,6,0,0
19,8,75,0,107,75,32,75,0,4.8,13,5,0,0
19,2,44,0,20,20,0,20,0,3.8,4,0,0,0
19,4,56,0,34,34,0,42,1,4.6,10,1,0,0
20,6,71,0,197,71,126,71,0,4.9,8,0,0,0
20,4,56,0,43,43,0,42,1,4.6,10,1,0,0
20,5,52,0,25,25,0,33,0,3.9,9,2,0,0
20,1,46,0,24,24,0,32,0,3.7,3,0,0,0
20,8,75,0,105,75,30,75,0,4.8,13,5,0,0
20,3,46,0,16,16,0,23,0,3.5,5,1,0,0
20,9,65,0,3,3,0,21,0,2.8,15,6,0,0
20,7,74,0,40,40,0,44,0,5,10,3,0,0
20,10,69,0,65,65,0,69,0,5,17,1,0,0
20,2,44,0,18,18,0,20,0,3.8,4,0,0,0
21,7,74,0,49,49,0,44,0,5,10,3,0,0
21,10,69,0,53,53,0,69,0,5,17,1,0,0
21,4,56,0,30,30,0,42,1,4.6,10,1,0,0
21,9,65,0,3,3,0,21,0,2.8,15,6,0,0
21,8,75,0,117,75,42,75,0,4.8,13,5,0,0
21,6,71,0,206,71,135,71,0,4.9,8,0,0,0
21,2,44,0,18,18,0,20,0,3.8,4,0,0,0
21,5,52,0,28,28,0,33,0,3.9,9,2,0,0
21,1,46,0,28,28,0,32,0,3.7,3,0,0,0
21,3,46,0,13,13,0,23,0,3.5,5,1,0,0
22,6,71,0,205,71,134,71,0,4.9,8,0,0,0
22,10,69,0,51,51,0,69,0,5,17,1,0,0
22,3,46,0,15,15,0,23,0,3.5,5,1,0,0
22,5,52,0,26,26,0,33,0,3.9,9,2,0,0
22,9,65,0,3,3,0,21,0,2.8,15,6,0,0
22,7,74,0,40,40,0,44,0,5,10,3,0,0
22,4,56,0,27,27,0,42,1,4.6,10,1,0,0
22,1,46,0,25,25,0,32,0,3.7,3,0,0,0
22,8,75,0,123,75,48,75,0,4.8,13,5,0,0
22,2,44,0,14,14,0,20,0,3.8,4,0,0,0
23,8,75,0,112,75,37,75,0,4.8,13,5,0,0
23,3,46,0,15,15,0,23,0,3.5,5,1,0,0
