tick,customer_ID,latitude,longitude,stickiness,random_number,current_firm,previous_firm,decision,c_deviance_propensity
0,80,33.9708,-117.4997,62,3,2,0,stay,0
0,426,34.4597,-117.2142,56,4,7,0,stay,0
0,297,34.0285,-117.6097,88,45,5,0,stay,0
0,65,33.7707,-117.5083,9,0,1,0,move,0
0,301,34.2143,-117.6285,83,52,5,0,stay,0
0,481,34.4795,-117.307,57,93,7,8,move,0
0,199,34.1064,-117.3918,100,86,3,0,stay,0
0,646,34.1233,-117.0262,4,84,8,10,move,0
0,423,34.4794,-117.2321,22,66,8,7,move,0
0,172,34.0424,-117.5666,63,70,0,6,wait,0
0,20,33.6543,-117.0028,55,78,10,1,move,0
0,21,33.8529,-116.9461,40,83,10,1,move,0
0,120,33.9119,-117.6625,24,83,6,2,move,0
0,645,34.0535,-117.0594,26,48,8,10,move,0
0,568,34.0894,-117.7862,29,76,4,9,move,0
0,237,34.0082,-117.5372,55,80,0,6,wait,0
0,424,34.4485,-117.2401,79,60,7,0,stay,0
0,624,34.1791,-117.7225,30,76,0,6,wait,0
0,365,34.1871,-117.6111,82,63,0,6,move,0
0,605,34.1822,-117.6065,56,36,10,0,stay,0
0,505,34.1005,-117.1949,61,19,8,0,stay,0
0,361,34.1193,-117.6424,44,5,0,6,move,0
0,574,34.0338,-117.6538,83,8,9,0,stay,0
0,643,33.9664,-117.1114,63,90,0,8,wait,0
0,194,34.2122,-117.543,24,74,0,6,wait,0
0,231,34.1577,-117.7453,69,24,4,0,stay,0
0,470,34.4813,-117.346,66,28,7,0,stay,0
0,56,33.6365,-116.9792,70,39,1,0,stay,0
0,281,34.1962,-117.5109,38,90,6,5,move,0
0,236,34.1623,-117.7108,79,49,4,0,stay,0
0,324,34.0084,-117.5282,51,84,6,5,move,0
0,417,34.6473,-117.3447,30,22,7,0,stay,0
0,514,34.0416,-117.4171,82,45,8,0,stay,0
0,433,34.5419,-117.3772,4,75,3,7,move,0
0,597,34.0438,-117.7053,49,52,4,10,move,0
0,462,34.5025,-117.363,4,45,0,6,wait,0
0,245,34.172,-117.6562,10,35,0,6,wait,0
0,475,34.5437,-117.3265,65,64,0,8,move,0
0,644,33.9934,-116.9428,9,72,8,10,move,0
0,401,34.1666,-117.6093,45,24,0,6,move,0
0,566,34.1119,-117.7024,48,23,9,0,stay,0
0,41,33.7404,-116.8723,92,81,1,0,stay,0
0,491,34.0316,-117.4232,52,65,0,6,wait,0
0,382,34.0643,-117.6324,7,38,5,6,move,0
0,579,34.0398,-117.7023,100,54,9,0,stay,0
0,414,34.4385,-117.272,54,49,7,0,stay,0
0,44,33.6399,-116.8877,84,20,1,0,stay,0
0,322,34.2055,-117.6261,4,62,0,6,wait,0
0,496,34.1229,-117.3411,61,32,8,0,stay,0
0,419,34.5602,-117.253,82,72,7,0,stay,0
0,186,34.2206,-117.3879,19,22,8,3,move,0
0,661,34.1039,-117.0584,61,0,0,0,wait,0
0,393,34.084,-117.5345,99,96,0,6,move,0
0,84,33.9207,-117.4904,8,22,6,2,move,0
0,658,33.891,-117.105,22,0,10,0,move,0
0,42,33.6535,-117.0892,98,0,1,0,stay,0
0,85,33.8144,-117.5727,18,23,0,6,wait,0
0,378,34.0487,-117.422,19,7,0,6,move,0
0,260,33.9558,-117.7245,26,19,4,0,stay,0
0,524,33.9411,-117.2216,62,9,9,0,stay,0
0,7,33.714,-116.8707,11,77,10,1,move,0
0,2,33.6436,-117.0367,27,39,0,10,wait,0
0,600,34.0671,-117.7259,24,94,4,10,move,0
0,665,33.9058,-117.0059,37,0,10,0,move,0
0,241,34.0612,-117.667,22,49,0,6,wait,0
0,273,34.2075,-117.4483,85,68,4,0,stay,0
0,495,34.0916,-117.3938,33,36,6,8,move,0
0,457,34.5398,-117.3225,67,82,3,7,move,0
0,499,33.9632,-117.37,20,55,0,6,wait,0
0,1,33.7797,-117.0363,81,59,1,0,stay,0
0,412,34.6361,-117.2202,80,67,7,0,stay,0
0,320,34.0348,-117.6618,28,91,6,5,move,0
0,590,33.9931,-117.6573,3,36,6,10,move,0
0,179,34.1331,-117.5725,58,91,0,6,wait,0
0,517,34.0214,-117.3635,27,64,8,9,move,0
0,377,34.0849,-117.5497,79,73,0,6,move,0
0,425,34.5193,-117.2745,66,58,7,0,stay,0
0,541,33.923,-117.3152,43,60,8,9,move,0
0,431,34.6144,-117.2264,74,43,7,0,stay,0
0,659,33.9554,-117.1504,100,0,10,0,move,0
0,127,33.8377,-117.6579,78,87,4,2,move,0
0,207,34.1377,-117.6081,81,98,0,6,wait,0
0,523,33.9715,-117.3781,64,35,9,0,stay,0
0,654,34.1088,-116.9939,49,0,0,0,wait,0
0,291,34.0314,-117.5486,68,23,5,0,stay,0
0,253,34.0112,-117.6307,63,59,4,0,stay,0
0,504,33.9923,-117.2353,15,27,0,10,wait,0
0,560,34.1458,-117.1958,72,22,9,0,stay,0
0,223,33.9714,-117.6306,60,43,4,0,stay,0
0,343,34.1242,-117.4964,27,19,5,0,stay,0
0,415,34.5695,-117.216,58,45,7,0,stay,0
0,36,33.7202,-117.1004,61,2,1,0,stay,0
0,588,34.0016,-117.58,34,41,6,10,move,0
0,532,33.9275,-117.3346,29,27,9,0,stay,0
0,494,34.0601,-117.396,18,50,0,6,wait,0
0,6,33.677,-116.937,26,10,1,0,stay,0
0,265,33.9888,-117.6038,65,54,4,0,stay,0
0,632,34.0358,-116.9646,95,51,0,10,move,0
0,250,33.9772,-117.5316,93,5,4,0,stay,0
0,242,34.1341,-117.7154,8,63,0,6,wait,0
0,282,34.2033,-117.6,12,36,0,6,wait,0
0,68,33.9111,-117.4912,60,0,1,0,move,0
0,435,34.5928,-117.2639,55,12,7,0,stay,0
0,557,33.9458,-117.1969,16,0,9,0,stay,0
