tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
0,1,61,0,37,37,0,61,0,3.7,3,0,0,0
0,4,70,0,53,53,0,70,1,4.6,10,1,0,0
0,2,68,0,36,36,0,68,0,3.8,4,0,0,0
0,5,71,0,51,51,0,71,0,3.9,9,2,0,0
0,8,75,0,91,75,16,45,0,4.8,13,5,0,0
0,9,65,0,36,36,0,65,0,2.8,15,6,0,0
0,10,69,0,83,69,14,69,0,5,17,1,0,0
0,3,70,0,43,43,0,65,0,3.5,5,1,0,0
0,6,71,0,181,71,110,50,0,4.9,8,0,0,0
0,7,74,0,39,39,0,70,0,5,10,3,0,0
1,6,71,0,165,71,94,71,0,4.9,8,0,0,0
1,3,70,0,35,35,0,35,0,3.5,5,1,0,0
1,4,70,0,42,42,0,42,1,4.6,10,1,0,0
1,9,65,0,24,24,0,24,0,2.8,15,6,0,0
1,8,75,0,92,75,17,75,0,4.8,13,5,0,0
1,5,71,0,41,41,0,41,0,3.9,9,2,0,0
1,10,69,0,75,69,6,69,0,5,17,1,0,0
1,7,74,0,40,40,0,40,0,5,10,3,0,0
1,1,47,0,33,33,0,33,0,3.7,3,0,0,0
1,2,68,0,29,29,0,29,0,3.8,4,0,0,0
2,3,70,0,35,35,0,35,0,3.5,5,1,0,0
2,5,71,0,33,33,0,41,0,3.9,9,2,0,0
2,1,47,0,25,25,0,33,0,3.7,3,0,0,0
2,8,75,0,99,75,24,75,0,4.8,13,5,0,0
2,6,71,0,190,71,119,71,0,4.9,8,0,0,0
2,4,70,0,41,41,0,42,1,4.6,10,1,0,0
2,2,68,0,24,24,0,29,0,3.8,4,0,0,0
2,10,69,0,72,69,3,69,0,5,17,1,0,0
2,7,74,0,43,43,0,40,0,5,10,3,0,0
2,9,65,0,14,14,0,24,0,2.8,15,6,0,0
3,8,75,0,103,75,28,75,0,4.8,13,5,0,0
3,5,71,0,39,39,0,41,0,3.9,9,2,0,0
3,10,69,0,64,64,0,69,0,5,17,1,0,0
3,7,74,0,42,42,0,40,0,5,10,3,0,0
3,3,70,0,32,32,0,35,0,3.5,5,1,0,0
3,6,71,0,168,71,97,71,0,4.9,8,0,0,0
3,1,47,0,34,34,0,33,0,3.7,3,0,0,0
3,4,70,0,44,44,0,42,1,4.6,10,1,0,0
3,9,65,0,11,11,0,24,0,2.8,15,6,0,0
3,2,68,0,23,23,0,29,0,3.8,4,0,0,0
4,8,75,0,104,75,29,75,0,4.8,13,5,0,0
4,4,70,0,30,30,0,42,1,4.6,10,1,0,0
4,9,65,0,11,11,0,24,0,2.8,15,6,0,0
4,2,68,0,24,24,0,29,0,3.8,4,0,0,0
4,6,71,0,198,71,127,71,0,4.9,8,0,0,0
4,7,74,0,43,43,0,40,0,5,10,3,0,0
4,1,47,0,31,31,0,33,0,3.7,3,0,0,0
4,5,71,0,37,37,0,41,0,3.9,9,2,0,0
4,10,69,0,59,59,0,69,0,5,17,1,0,0
4,3,70,0,33,33,0,35,0,3.5,5,1,0,0
5,10,69,0,72,69,3,69,0,5,17,1,0,0
5,1,47,0,30,30,0,33,0,3.7,3,0,0,0
5,7,74,0,49,49,0,40,0,5,10,3,0,0
5,8,75,0,102,75,27,75,0,4.8,13,5,0,0
5,3,70,0,26,26,0,35,0,3.5,5,1,0,0
5,2,68,0,23,23,0,29,0,3.8,4,0,0,0
5,9,65,0,9,9,0,24,0,2.8,15,6,0,0
5,6,71,0,179,71,108,71,0,4.9,8,0,0,0
